lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
1,0.0,0.0,0.0,0.0,0.0,0.42951079604592435,0.399779665889934,0.452752320632752,0.3697038647793535,0.4742291050754818,0.42646880602614246,0.4075763812032417,0.44361002357697027,0.3933123671861654,0.4668590635633481,0.14702991417873842,0.1322622622941799,0.16245007954138208,0.11983956848352324,0.1782403006019843,0.5707438622967884,0.559955401287604,0.5811443857441362,0.5474385593691294,0.589617576174049
2,0.0,0.0,0.0,0.0,0.0,0.41276557243311285,0.38808383594646817,0.43586991678821263,0.35694012406673464,0.4640449123528348,0.4384038663411389,0.4189287032001048,0.45615380111539505,0.40355029517954744,0.47504669218971907,0.149683580761596,0.1360966689241439,0.1654583792876603,0.1209931082267313,0.18123159489199275,0.5703302249379376,0.5581080356228708,0.5786929278803165,0.5471017932498535,0.5884899778446339
3,0.0,0.0,0.0,0.0,0.0,0.39432108281513534,0.36997609123489594,0.4177147407373817,0.3428967643563779,0.4521164506280971,0.44797000469141257,0.4275446700425444,0.46636867388243913,0.41287427876602006,0.48668042602124284,0.15943411132730792,0.14012646924978986,0.17402814175627382,0.12475185230400287,0.1862974048347162,0.5680487855630028,0.5578360870855079,0.5783188149340287,0.546863178433109,0.5870788036493001
4,0.0,0.0,0.0,0.0,0.0,0.3762481286919949,0.3515118872259618,0.40062016220786956,0.32643527294155406,0.4365427864001252,0.45723196037968805,0.44034141445289,0.47486876059488003,0.4197186787689066,0.49432462960723256,0.16638005525200034,0.14840673007805436,0.1817262122232246,0.13225258929651293,0.19345427457402092,0.5663874794382734,0.5552055482515214,0.5758898926206754,0.5436700085331923,0.58622228291922
5,0.0,0.0,0.0,0.0,0.0,0.35531976006206734,0.332135668128369,0.3773517559233012,0.3083330634126433,0.4110896682372782,0.46895310629068754,0.4521329413661154,0.4843268538625864,0.4309473793229812,0.5050912339463344,0.17834343757143625,0.1599158488176553,0.19104813794597456,0.14389837277051937,0.20075214675764183,0.5647530138135288,0.5529411119873016,0.5733149384411899,0.5424798081267661,0.5849458332162941
6,0.0,0.0,0.0,0.0,0.0,0.3295088520611953,0.3045243571523822,0.3582457500432466,0.28388499238213316,0.3844582596941761,0.4798561390988947,0.4643878812263258,0.496778870781911,0.4384123955080613,0.5168852338497764,0.19090242601115986,0.17547279033390978,0.20519878393353155,0.15633809774766275,0.21988575739884939,0.5632490224424203,0.5509963736036938,0.5725522920408836,0.542964209980277,0.5834362839050622
7,0.0,0.0,0.0,0.0,0.0,0.30139856084151806,0.27391842451989445,0.32993007626353466,0.2582061037059143,0.35682341138291557,0.49151996501645323,0.4755520816153978,0.5106360271585473,0.44648895519881054,0.5257744795386249,0.2074416084487159,0.19001877308774018,0.22186185659841307,0.16956040182383847,0.23567771468749282,0.5622312120779849,0.5491873934714905,0.5710370444418769,0.5418524414819879,0.5827556170583367
8,0.0,0.0,0.0,0.0,0.0,0.26897868253904555,0.2413245651444052,0.2984107394317342,0.23118387076362154,0.33094985618999195,0.5054272539141371,0.49016231497147533,0.525507127147472,0.46236250415559954,0.5392059499113161,0.2250094415247766,0.20391443246503121,0.23783836036614914,0.18473081994544674,0.24929598207943876,0.5601097200951306,0.5491282703297772,0.5703192753139447,0.5430572065645998,0.582436946995925
9,0.0,0.0,0.0,0.0,0.0012584396448481834,0.24016664509738828,0.21091303647092802,0.264756979471981,0.1966689145148674,0.2982816806821053,0.5185449351755299,0.5040372816015114,0.5405442933374165,0.4783191478861245,0.554016827800919,0.2415260155258024,0.22138151451427465,0.2566324584698119,0.20102599300687102,0.26599254368585074,0.5611012854639471,0.5491559483979639,0.5719707012953582,0.5410695699539477,0.5833255614892515
10,0.0,0.0,0.0,0.0,0.0042750972849098425,0.2081177028362834,0.17785123548360737,0.2317868653147965,0.16395638330208023,0.26764373853204165,0.5339860739184514,0.517796361971931,0.5542832716384543,0.493979080002158,0.567406401975875,0.25921454668235655,0.24040533244490198,0.2736390077241071,0.22197734208863515,0.2852110899730247,0.561918357539203,0.5483184989404777,0.5729134767483569,0.5409432365576882,0.5852962849034131
11,0.0,0.0,0.0011394260695648858,0.0,0.010245496042658378,0.17658895663599605,0.14847915129059905,0.2011640104297607,0.13463458322433783,0.2322428005547031,0.5476190100147096,0.5307924879252229,0.5666747158176421,0.5041977093162752,0.5793102465009968,0.2761323332911769,0.25848621904377556,0.2930760505691404,0.24260205733328388,0.30372585829895116,0.5620524088926961,0.5499815057513618,0.5732866086212159,0.5390629765761704,0.5882175413847684
12,0.0,0.0,0.005016598156116541,0.0,0.016290537539705927,0.15139268628583166,0.1239349842301678,0.1741080333171058,0.10834092497307335,0.20016218805293576,0.5569832859651548,0.5420738127901249,0.5777254846919153,0.5155736498338729,0.5892571006259659,0.29105300104041654,0.27327433885885655,0.3067390522678832,0.2572138294707019,0.3168840873002503,0.5623788362464899,0.5503442879369702,0.575882181528841,0.5399861649706992,0.5857469523772835
13,0.005115201536704061,0.0,0.014117884348348604,0.0,0.02523428715831681,0.1314245009438919,0.10745811711486343,0.153284889750755,0.0893755605213594,0.18097711976551423,0.5605700694111939,0.545977322860272,0.579132999422598,0.5237562230178374,0.5899610726393332,0.3005510058423684,0.28188952027670955,0.3155561009428931,0.2675823423117091,0.32873513898280565,0.562653396073632,0.5519840929411101,0.5751648577143824,0.5397090071627882,0.5837640348802045
