lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
1,0.0,0.0,0.0,0.0,0.003984878000276662,0.2666642581122714,0.2410818760270948,0.29965442528515307,0.21986188962430575,0.32264033337921894,0.4890589336545604,0.4693311432502666,0.5062103151702848,0.45710578385632095,0.5217357896468113,0.24401384452720729,0.22601828279470373,0.25718409607848697,0.20554307459869436,0.277454939386639,0.5191001159096662,0.5081829331708361,0.5299199029431223,0.4995497856775708,0.5393334487155396
2,0.0,0.0,0.0,0.0,0.00758144998284834,0.24007512655591914,0.21390451886745138,0.2701514919662102,0.1919512385079851,0.29651930982026975,0.5015101143235157,0.4835423878330152,0.5162214235936964,0.4700573722816177,0.5375715673262663,0.25583410550956676,0.23930952001660474,0.27071841513314765,0.2202646913031547,0.2896952589526356,0.5171956796390045,0.5064442230884377,0.5269990980839531,0.497738836884148,0.5364334271707469
3,0.0,0.0,0.003411841993784427,0.0,0.01339346780679494,0.2155483290054887,0.18582062363024857,0.24347817444451872,0.16554105667212723,0.2643539555070075,0.5139148753458695,0.4973048678217286,0.5296360212715719,0.4831635675457597,0.5493356436615335,0.2708151076958245,0.2549945464649899,0.28677672586974345,0.23407608658183138,0.29781055484990493,0.5145749437618945,0.5044327121796244,0.5231332593541452,0.49311964665653013,0.534768894679273
4,0.00314413712824698,0.0,0.012557805755639128,0.0,0.022799145342096806,0.18680194061067745,0.16407519413979765,0.21574183958778,0.13931271067433007,0.23418043608308053,0.5241635396298474,0.5076791299997134,0.5388275453446755,0.4940621024825301,0.5594935599518867,0.28195366849540426,0.2692288240462603,0.3001967882897134,0.2477495775669173,0.31086637468720735,0.5116030784998121,0.5022814660860346,0.5211321606957727,0.4895463780521108,0.5324795193972696
5,0.012134798640705534,0.004657586580443659,0.02191843864000964,0.00013975193111206023,0.03308744246286524,0.16545898280489588,0.14264552171323208,0.19445644017375185,0.12226976549982425,0.21206423728931859,0.5293514444088241,0.5116933091102669,0.5439760830233167,0.4990686465959484,0.5611973622125196,0.29175960165415665,0.27828102853022696,0.30852256189731375,0.2628644513373511,0.319247292498805,0.5090126285689252,0.4992540809659984,0.5202239983287475,0.48563330079083444,0.530407424258676
6,0.023967756496077672,0.014448666766619224,0.03461497797325618,0.005299321311810371,0.047475180711103085,0.1453691633153623,0.1214527605122564,0.1742028638792056,0.10597427398440136,0.1919811812847073,0.5313812597468588,0.5138238443987937,0.5482451366997999,0.5005476012009855,0.5627424875072625,0.2980596866667242,0.28328183381897154,0.31651211546373653,0.26729437612341095,0.3284942595585802,0.5044995225709197,0.4958466671505643,0.5177185337387827,0.48520890437595543,0.5254716074400645
7,0.03464530089544547,0.025059002844648806,0.04593608764669697,0.016619780761910945,0.057591140637062964,0.12842504932651294,0.10588886044227713,0.15566641735231812,0.09221417369409005,0.17326062969098444,0.5330183055566451,0.5113039026549309,0.5485828826872664,0.49798366557145923,0.5621925136326448,0.3034023264523463,0.2874123965583697,0.31983617769003386,0.27141933862470025,0.33053195454555806,0.5024873536097452,0.49228244888834316,0.5124469933921421,0.484127234447657,0.5215152916383637
8,0.045846031621854404,0.03553388667706426,0.05804962903515727,0.028050525989990076,0.06947630877850539,0.11281648649837622,0.09238092927820428,0.13935803082440024,0.08110514591295252,0.15573936812214595,0.5321501619218589,0.511210921471308,0.5455027574187449,0.494386674274545,0.5601976709095611,0.3096663437516911,0.2914791913056476,0.3223679141733907,0.2755112232956533,0.33423244301219046,0.499840783436425,0.4878373934888509,0.5082635129830381,0.48127528074189674,0.5201095321670527
9,0.05748639127737523,0.04500833543691474,0.06911585436430966,0.03812765850489527,0.07778396217327611,0.1016651651723679,0.08064161421807375,0.1254670668042845,0.0692175040787854,0.1436374440379771,0.5280318158961024,0.5115016432948758,0.5430277090803812,0.49112791710710446,0.5594386729629468,0.3139440294230512,0.2974921816135459,0.32599978870083485,0.28188028832616063,0.33857877875440373,0.49491929416595515,0.48516288971058646,0.5047735480448707,0.47725826537056315,0.5156017624594886
10,0.06677845128102272,0.05516910142381657,0.07921633526862171,0.048091459671458135,0.08930398491341661,0.09119067173542778,0.06999979869022145,0.11267987473741264,0.05885433734813409,0.13081054747869375,0.5243506904510218,0.5089802108082708,0.5389691855631995,0.4892249152200847,0.5541326667452575,0.31838921337986514,0.30194844482671035,0.331382045099147,0.2891542062407649,0.3423461102772773,0.4925440068670338,0.48116596785893484,0.5017965781733457,0.4754572181190066,0.5129040103805678
