lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
1,0.016978119855584704,0.00644125682107448,0.03948001286339317,0.0,0.05268991791209289,0.15468618216086144,0.1289246996858197,0.18593155593553562,0.10408830613187102,0.2035638475121561,0.3703374316944514,0.3526274373993647,0.3918967065297558,0.3306874767526348,0.4128947751325394,0.4526217431344828,0.4308536427639083,0.4738126481068536,0.41363781016131046,0.49019762244624965,0.6892736174083438,0.6760982179007877,0.701278718018802,0.6691627720575164,0.7109905663865561
2,0.02273809120313657,0.009735256837191758,0.04372290413202037,0.001324161824499072,0.06228680406805345,0.14443710690960132,0.11916088884969273,0.1711854003147215,0.09578818665249025,0.19293978028513836,0.36903399688638344,0.3521970154139264,0.39228220711423223,0.3355427447725391,0.40577887599428875,0.4591504470681124,0.43265712705689513,0.4813911415009731,0.4154630919012053,0.4943439602506163,0.6897305781231884,0.6794969737592975,0.7010339310274986,0.6701665222998073,0.7103667064232431
3,0.0297450209260915,0.015121706579186508,0.049948393526946265,0.0061639576229483364,0.0722428160678321,0.1347325442742411,0.10757084619085024,0.15902545626934178,0.0883349026261879,0.17832575074084672,0.3686870931141571,0.35043913425888795,0.39445891911578046,0.332331691245334,0.4054449650733894,0.46561757152841676,0.439037413571956,0.4848120537721355,0.4212557708614549,0.5051009618297004,0.68934123853801,0.6777022931352887,0.6996049822658184,0.6683602725891287,0.709122145867272
4,0.03657992785242274,0.021806143258069767,0.05937124045432829,0.010232168739309032,0.0814725611505347,0.1200260020041308,0.09559188487235622,0.14733623938353027,0.08064682369724392,0.16821483234083565,0.37134078431445505,0.3495186746845702,0.3921435481826841,0.3305376137606683,0.4096490129135263,0.4699035059704289,0.4453216513653474,0.48792465860598944,0.42220384420795265,0.5093840893129331,0.6895339556282907,0.677165104001486,0.7005818123261561,0.6664163169389289,0.707334872570293
5,0.04177148157152258,0.02708051858136889,0.06565526551056476,0.014471765552443555,0.08827376845777841,0.11381391037019294,0.08760090795234257,0.136603784162836,0.07240913247527743,0.15775600568502515,0.3719923329449378,0.35099985158750535,0.39273674377673695,0.3328448265138078,0.4082717076517454,0.4711180416926588,0.448955634411737,0.49384428573190836,0.4233303905731317,0.5154724681998971,0.6884622188873147,0.6781338308348484,0.6998216597594068,0.6658346096247708,0.7073577011577856
6,0.0511567441249537,0.03445703693281041,0.07349029103770156,0.01783946133906635,0.09471973654631168,0.10385789324104108,0.08220534029430425,0.1258305243678911,0.06359978441701886,0.1486511141148953,0.37111883974232707,0.35246107404493265,0.39341379596105436,0.3338801534687398,0.40954018558041344,0.4718976034856066,0.453458879799444,0.4954638489268075,0.4210865020309351,0.5171662844401762,0.6900754880061928,0.6782556662877695,0.7009362239098619,0.6691667311889326,0.7094718266567853
7,0.05790669575412628,0.04025780033257832,0.08125756151471493,0.02299267997025204,0.09615363589346763,0.09428261721312498,0.07612984441703398,0.11512563043128275,0.056281883789866254,0.14015307160051957,0.3710276752214773,0.3502956118799416,0.3930338198508467,0.33110025083581196,0.407453771033462,0.4732035771640992,0.4576763371290552,0.4955119935115265,0.43087963631152115,0.5157092276623336,0.6894442975817054,0.6779236894046674,0.6986648903405338,0.6693107151393973,0.7112301241040335
8,0.0646599398394897,0.04461859848086874,0.08521941705724445,0.032275843841455515,0.10784540368356514,0.08848397965360985,0.07046333685757387,0.10968057151689191,0.047753662098972596,0.1297515322221368,0.37040935654636664,0.3503374462554184,0.3899114218919286,0.33149498291242574,0.40477024587136856,0.4761520000663323,0.4594210639638121,0.49755663321817767,0.43749061837171704,0.5132013652166908,0.688355400294169,0.6764569666921235,0.6967897610068818,0.66955553474301,0.7096126566563483
9,0.06860122117481693,0.04949370714918419,0.08655121865849676,0.036339752942080784,0.11076143404082357,0.0869735051726277,0.06636863974430215,0.10943964543761421,0.047904939606023995,0.12730525092216696,0.36621573083192716,0.3452200161000787,0.384933800704716,0.32765681307380906,0.4063548400528391,0.47775975268748216,0.4618132727584471,0.49648559019813754,0.4414221581725347,0.5177074025484508,0.6867252095336398,0.6741209259233035,0.6962818578157821,0.6691614796732033,0.7080817765887435
10,0.0713173917753627,0.05274135959903292,0.08877980478517689,0.04015861144840697,0.11556598326170793,0.08277830140792256,0.06144957765837995,0.1055170510807734,0.04782840239174993,0.12023046825201483,0.3599931289404186,0.34144660880718636,0.3796566765357436,0.32634377527595587,0.40675081621582615,0.4833298312317345,0.46335413402475273,0.49941118098840637,0.4459702676745314,0.5166760561637534,0.6844642493349382,0.6741242479856356,0.6946590017426317,0.6626516886368305,0.7038088322669525
