lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
1,0.0,0.0,0.0,0.00015099973854702702,0.0,0.0,0.0,0.08959507685232959,0.08061165086968744,0.07696681769622307,0.08501579948610426,0.09016708013078353,0.0852504137858305,0.09359287896135327
2,0.0030982135047792013,0.0006837887433710685,5.935719589253542e-05,0.0012580693638350585,0.0,0.0,0.0,0.1331660679993686,0.1284216435170892,0.12419131898329226,0.13401176756301392,0.13535942491435138,0.13007371515792296,0.13973577837824294
3,0.0020888965971950363,0.0009314362578642807,6.106680478816534e-05,0.0029126424881969555,0.0,0.0,0.0,0.16272225015251104,0.17189451335507033,0.16611950546149812,0.17641161007141107,0.17157719263271753,0.16739788730482258,0.1751360568448176
4,0.002741877567472782,0.0031366658748591516,0.000505747147185048,0.005351704464762136,0.0,0.0,0.0,0.18419555855212588,0.20526279515906087,0.19975523742212783,0.21110252584879957,0.20182618742354863,0.19656071474109188,0.2046705061360196
5,0.008119389368123143,0.0018765030441324322,0.0003255913418062555,0.004451143359870844,0.0,0.0,0.0,0.19440875069501168,0.23471514196826723,0.22948575235273266,0.2409852000841361,0.2216874866846684,0.2161857894973117,0.22556381702009257
6,0.0266823311117329,0.0019020447099598796,0.0006132560130601531,0.003995245234979727,0.0,0.0,0.0,0.21133215397231012,0.26089410107776667,0.25442255936300917,0.2665766275046786,0.24014992289065637,0.23643169326492458,0.2445862086443028
7,0.0206406722860115,0.002115330172929562,0.0004883449821357234,0.00528894799460923,0.0,0.0,0.0,0.22304630639729833,0.28110342084857887,0.2745155923766748,0.2870227984599147,0.26124785538600703,0.2563510717924572,0.2653698896597014
8,0.006338675167337341,0.005102903962485494,0.002064845494847083,0.008290753643232524,0.0,0.0,0.0,0.23867767637811002,0.2986388969845455,0.293224526346141,0.3053000051618681,0.28614649582739393,0.28142626169779217,0.28994561658147466
9,0.01487214929256184,0.006907749631127079,0.0025149021934055722,0.010622045470518912,0.0,0.0,0.0,0.24824944820072575,0.31322109674193677,0.30583687884588745,0.31880322171715514,0.3039527732787902,0.29872790402802135,0.30942828886820745
10,0.030437819212304647,0.006251849314090873,0.0030355183623537786,0.012835877029989437,0.0,0.0,0.0016183487530210935,0.2627738462224715,0.330496617003453,0.32445597172273083,0.3363012651881597,0.32521438478108255,0.31951261555253657,0.3302822975776878
11,0.04449991646300075,0.00883126628295363,0.004780429594804657,0.013999689012522498,0.003590175754532092,0.0007763428989561059,0.006133465067886028,0.2726157385865959,0.34672222698761257,0.3391784480035692,0.35389679772480437,0.3443163634368318,0.33737107621187756,0.34951795336712665
12,0.050135779297052416,0.009316796396658006,0.00538093429587041,0.015216052942388801,0.0025371647675714853,0.00036575490515794294,0.004822772744272948,0.28580947289877084,0.35812346080304513,0.3519642521871951,0.36629747462497425,0.3634360532585871,0.3572968678640466,0.3696317349233103
13,0.05358495002259681,0.012743653651819762,0.008115018950853339,0.018089938756161657,0.003282038690591816,0.0020485417899139572,0.005646431936452966,0.29317775771527554,0.36682987667315925,0.36003708803908063,0.37346383099134617,0.3758231111096823,0.3678286823612792,0.38085716677932857
