lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1502737057333385,0.12581011407806098,0.12064534194886893,0.13086518724199486,0.16250964609399568,0.15548844529675296,0.16690193185236663
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20414787508327495,0.1834412619963307,0.17774037421190195,0.18927483786182134,0.2309950846494388,0.22385110070806016,0.23583128860233213
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333008719943096,0.22056391752356685,0.21360443956465494,0.22807912976576225,0.2772155975853452,0.27086718348854644,0.28302560970464113
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25499692979490374,0.250310183605092,0.24294873649350743,0.25579845583067773,0.31469644444175626,0.3078569630605024,0.31933231664597156
5,0.014381240416234215,0.0,0.0,0.0,0.0,0.0,0.0,0.25798154295174086,0.2637880143503487,0.2569460294064012,0.2689079611791364,0.32990865512872136,0.3239392627062459,0.33405844587306355
6,0.014708231132907017,0.0,0.0,0.0,0.0,0.0,0.0,0.2719255870447252,0.27223314562735906,0.26390444485323866,0.28082020804360847,0.35209670833148116,0.3455086959711955,0.358437920105072
7,0.022661191402446844,0.0,0.0,0.003317266236757023,0.0,0.0,0.0,0.27113449204100737,0.27972383684825186,0.27240518362802385,0.28676231005634467,0.3641817227339892,0.35687109835779746,0.3704077652887423
8,0.03517453064192766,0.0,0.0,0.0008024484573776309,0.0,0.0,0.0,0.2788705032662733,0.2846683175445004,0.2752504217807659,0.2910027699040459,0.3774562787817669,0.3711215652216952,0.38260990307993203
9,0.03932222933547135,0.001586947239879715,0.0,0.005513115843609302,0.0,0.0,0.0,0.28509171130031086,0.2861858398461936,0.27653224181569463,0.2944802386492716,0.3856358242125264,0.3787120912777728,0.39390839176604453
10,0.04633073652779939,0.00341372169848248,1.5271702634466147e-05,0.006867042672903394,0.0,0.0,0.0,0.27767774429740666,0.28991005381869084,0.28011802495186344,0.2974646866039087,0.3909913343515108,0.3849523581581003,0.3975284911573785
11,0.051176336222750626,0.008425040747747217,0.0026111650438242918,0.011975293084249182,0.0,0.0,0.0,0.2794127283607876,0.2924337391917179,0.2851117776849789,0.3000704209740114,0.3920850633652657,0.3854286405978771,0.3987252298318381
12,0.04734792819407776,0.01029243345719817,0.001080445843489931,0.014197190419475507,0.0,0.0,0.0,0.28327549677739067,0.2961299720663871,0.2876985011092431,0.3026567212716921,0.39822531512986636,0.3906514714699891,0.40565266699538394
13,0.04356631761581546,0.00942552692132247,0.0010801765113138992,0.013544688280132148,0.0,0.0,0.0,0.2838645226684226,0.2964133899783141,0.2901942621303072,0.3029047308196425,0.3994406710047077,0.3937735417770154,0.4051249646874945
